"","seg10BTVPCRcopiesper1ml_new","BTM:proinflammatory.dendritic.cell.myeloid.cell.re","Proteine.Totali","BTM:Naive.B.cell.surface.signature.S8.","BTM:DC.surface.signature.S5.","BTM:activated.dendritic.cells.M67.","lung_pos_cells","BTM:enriched.in.B.cells.V.M47.4."
"SMI6-129_7",2.05767852144982,1.0321176420655,-0.391405108429955,-0.91410885041465,0.531760681654239,3.03502507262485,0.598524243636428,0.54652165411572
"SMI6-128_7",2.11459106291555,2.07266295754241,-0.642299563797755,0.412291533868729,0.447866826128598,2.93762994979709,-0.1283394684975,0.730605733296001
"SMI6-127_7",2.03017557593062,1.37963241968619,-0.642299563797755,-1.24160609089629,1.18470367373661,1.65992302880086,-0.0409041116844976,0.0891544266463243
"SMI8-293_7",1.78831268742368,1.97291143763469,0.724201061419486,0.114255475063182,1.51975133080824,1.39263521035844,-0.206171813153377,0.679748244272414
"SMI8-292_7",1.74768880582893,2.11192993105436,1.99886437259515,-0.24656109732417,1.99526976569994,0.571074028798065,-0.37068186041183,-1.03221822903959
"SMI8-298_7",0,0.879239765131295,0.229708817394675,-0.268857166450919,-0.229713582170698,0.78573049857539,-0.178417890513061,-0.5194304986618
"SMI8-297_7",1.47428678571378,1.0038432046992,0.0804570506183382,0.341218330354709,0.0146423921733689,0.31705466217132,-0.155455554001109,-0.672537447229726
"SMI8-296_7",0,1.50628500108065,0.302941186435057,0.221004129696573,0.546431033256585,0.428006894155733,-0.274836044066162,0.383958387739752
"SMI8-295_7",0,3.65540833472455,0.302941186435057,-0.891350195443486,0.440489164378282,0.643195177742599,-0.300333903344191,0.731792907898302
"SMI8-294_7",0,1.22310785521939,0.229708817394675,0.579518457283558,-0.078522941097266,0.736418082558017,0.152341106724178,-0.108457127493927
